IPAddress,Duration (in seconds),RecordedDate,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,aicomfort,aitrust,treatment,statement,statementtotaltime,statementnumberclicks,cointasktimer,tasktimer_Click Count,heads,modalflips,expectedlied,expectedshirk,justifylie,risktolerance,liesonprolific,liessignificantother,liesdatingapps,liesontaxes,liedoncointask,qualtricsID,prolificid,Reviewed at,Time taken,Totalprolificapprovals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,session,Submission id
84.65.249.128,168,3/28/26 19:58,R_8EtKnhqNQgLvByW,52.4383,-1.8051,EN,100,100,c,,,,5.8,1,10,10,90,90,If someone had no access to a coin and decided just to go with the average,10,60,5,0,0,1,R_8EtKnhqNQgLvByW,665ee374604d2c5d4d858efd,2026-03-29T01:41:36.117000Z,992,1217,40,Male,White,Poland,Poland,Poland,Polish,No,Full-Time,3,69c83efa7971e8f7b6da78f8
47.249.21.59,261,3/28/26 13:15,R_7js7FETrBxVX7Lf,35.3965,-119.1268,EN,70,75,c,,,,5.982,1,10,8,75,50,"None, it is not justifiable to not complete such a simple task. It is very low effort and not a huge loss if the outcome isn't what you most wanted.",10,10,20,10,10,2,R_7js7FETrBxVX7Lf,572a31e8d7299f000f7b594a,2026-03-29T02:03:58.006000Z,1660,8948,45,Male,Mixed,United States,United States,United States,English,Yes,Full-Time,6,69c880ef634c55b65987fad0
151.55.244.6,542,3/28/26 13:16,R_8gOHc44xiOwpKk9,45.5336,10.2194,EN,91,80,c,,,,6.232,2,10,5,28,38,"In some situations, misreporting may occur due to the participant misinterpreting the instruction, being honest and making an error, or feeling an intense amount of pressure related to the outcome of a payment. Regardless, it is still difficult to 'justify' as the task is simple and the validity of the study's outcome relies on the accuracy of responses as representative of true behaviour.",19,0,0,0,0,2,R_8gOHc44xiOwpKk9,6981cd78b61af262f8da54b0,2026-03-29T15:02:27.619000Z,691,1319,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,3,69c827466092c06b75acf93a
86.2.219.208,264,3/29/26 02:14,R_8ai7NeGIIHhsNNv,51.701,-3.038,EN,81,72,c,,,,6.887,1,10,5,65,22,If they didn't understand the rules and got confused. Or maybe they had technical difficultys.,52,0,0,0,0,2,R_8ai7NeGIIHhsNNv,5eaa956e7df877012afbff38,2026-03-29T15:03:07.675000Z,718,778,73,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",4,69c8e1ffd8d45d2b9aefe282
172.56.220.127,377,3/28/26 13:10,R_3q8YVktjFF31o2V,40.0172,-75.0883,EN,100,90,c,,,,7.125,1,10,10,90,50,There's no circumstances where misreporting could be justified. Unless someone honestly didn't have a coin but that seems unlikely,50,0,15,0,75,2,R_3q8YVktjFF31o2V,64707fd9bca46372e3a80468,2026-03-29T15:02:01.025000Z,392,3276,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,4,69c8dd2bdd3bec69c348ea01
86.181.204.5,459,3/29/26 03:07,R_2I0LqubvUZu0O3e,52.0618,1.156,EN,57,76,c,,,,7.331,3,10,6,57,48,They could not find the coin. They don’t have enough time to do it,92,0,0,0,0,2,R_2I0LqubvUZu0O3e,698cd67f0c38f0f16d3bae6f,2026-03-29T02:04:04.985000Z,814,2340,35,Female,White,Russian Federation,Canada,Canada,Russian,Yes,Full-Time,3,69c8286416a13134e2762d02
109.149.140.8,144,3/29/26 02:24,R_8HMJ4eYqA5oTGDn,51.2105,-1.5001,EN,70,69,c,,,,7.4,1,10,6,40,20,"Website/connection issues, no coin, sociopath",70,60,10,0,0,2,R_8HMJ4eYqA5oTGDn,6766b46d73c335e033cdb52b,2026-03-29T02:05:15.194000Z,506,4660,37,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,3,69c826e3a8616267c7c49bb5
74.132.194.231,256,3/28/26 13:26,R_1DHcdPA49gsRprr,38.1405,-85.6936,EN,95,96,c,,,,7.601,1,10,5,100,96,If someone did it by accident or is crazy,51,0,0,0,0,2,R_1DHcdPA49gsRprr,6740a2f2bae870caa18ae1ef,2026-03-28T19:44:48.400000Z,668,3550,56,Female,White,United States,United States,United States,English,No,Due to start a new job within the next month,6,69c87ea10df6fb3f202693ee
76.38.208.172,461,3/28/26 19:36,R_70JH5Mn3I9jkauC,42.6466,-73.7462,EN,12,22,c,,,,7.761,1,10,6,20,50,I don't think it is. You are doing research and the participant should be honest. Though what if the number of times the quarter landed on heads wasn't listed?,55,0,0,0,0,2,R_70JH5Mn3I9jkauC,69810cf3cd5e7c69fa9cfa49,2026-03-28T19:24:05.232000Z,395,10924,59,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,7,69c82694a8616267c7c49bb1
192.141.73.100,418,3/28/26 19:28,R_7pXXBLHXubwoWTS,-22.7886,-43.3175,EN,80,70,c,,,,8.142,1,10,10,80,40,"can be okay sometimes, like when things happen really fast and people don’t have time to explain everything properly. It can also happen if someone is stressed or confused, and the most important thing is just getting things done rather than being perfectly clear.",70,9,15,100,100,2,R_7pXXBLHXubwoWTS,69827aeeb463de1d5d4e276f,2026-03-29T15:02:09.255000Z,591,304,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Unemployed (and job seeking),4,69c8c52184b59766424eb51a
67.221.104.8,436,3/28/26 16:44,R_372MvddKLf3x2H0,38.0685,-78.8895,EN,80,81,c,,,,8.337,1,10,10,30,21,Misreporting wouldn't be justifiable for any reason and especially for a study like yours. Your data would be tainted and probably not valid.,71,0,0,0,0,2,R_372MvddKLf3x2H0,66be91ffc18911251934ac13,2026-03-28T23:43:08.815000Z,765,9380,67,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",3,69c82f29cc07a7c701d363c9
143.202.55.110,705,3/28/26 13:23,R_7qEIfSqH5MSCwqg,-20.4068,-42.9171,EN,85,80,c,,,,8.482,1,10,6,35,41,"misreporting could be justifiable if someone misunderstood the instructions or made an honest mistake while counting their results, it could also happen if a participant felt the reward was too low for the effort, I think this can happen and it is very realistic.",20,0,10,0,0,2,R_7qEIfSqH5MSCwqg,6984aa5cf94e5640bdf2e9b7,2026-03-29T15:03:28.609000Z,463,3651,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,4,69c889a64b8c86b045c43b00
93.45.89.179,261,3/28/26 13:18,R_2lo64GIXWaFEFlr,41.8905,12.5127,EN,100,60,c,,,,8.697,1,10,6,81,81,if there is no coin to flip or if this was for something important,100,0,0,0,31,1,R_2lo64GIXWaFEFlr,5ea313491b416808c9eeaa34,2026-03-29T15:03:16.926000Z,393,3844,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,4,69c8bd081395eb6b0a575ca7
86.19.242.189,202,3/28/26 23:21,R_271ZxAyJiVUzvjI,53.8226,-1.568,EN,90,81,c,,,,8.874,1,10,10,90,100,if you need the money because fuel prices are too high,20,0,18,0,0,1,R_271ZxAyJiVUzvjI,63ed0392b8b24c34aaf26310,2026-03-28T19:24:04.220000Z,386,12463,58,Female,White,United States,United States,United States,English,No,Full-Time,4,69c8e3275210e443dc440464
81.152.40.17,229,3/29/26 01:26,R_207gnuc93kOd8oF,54.6581,-5.9045,EN,100,100,c,,,,8.892,1,10,10,76,54,Human error mistake,70,0,11,20,0,2,R_207gnuc93kOd8oF,61f2ad75a09e72f23cbaf8a0,2026-03-28T19:22:29.387000Z,617,3080,70,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",4,69c8d4fe7392b770c63adae6
168.158.175.48,506,3/28/26 15:08,R_7fZddLGRJMpiBGP,37.751,-97.822,EN,80,88,c,,,,8.983,1,10,6,50,20,"I personally believe misreporting is possible especially since it was never flipped, hence the misreporting of their coin flips.",71,2,2,1,1,2,R_7fZddLGRJMpiBGP,69c58ffd18c4c49927581384,2026-03-28T19:26:19.868000Z,341,1113,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking),7,69c82617a1edf5316e7fea64
24.191.43.63,560,3/28/26 13:21,R_3SlAJoGiivpzkL2,40.8731,-74.7426,EN,95,75,c,,,,9.048,1,10,6,60,40,I could not justify not properly reporting such a simple task for a test like this under any circumstances. I did not need to undertake this survey - it was completely voluntary - so it is incumbent on me to do it properly.,40,1,10,10,0,2,R_3SlAJoGiivpzkL2,69bf2505ac6c0f4df1d0baf9,2026-03-28T19:26:00.206000Z,782,407,32,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,5,69c94235d1227b83b0ff13a5
105.245.120.164,259,3/28/26 20:15,R_8hyVGLkkEF7S3lP,-25.757,28.1443,EN,100,100,c,,,,9.1,4,10,10,100,52,This survey is talking about lion and 10 head coins,100,100,100,100,97,1,R_8hyVGLkkEF7S3lP,64d292257840b0e5a0dg262h,2026-03-29T15:02:05.339000Z,1634,3186,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,7,69c82603e52f93aed66a0421
204.186.195.68,339,3/28/26 14:46,R_3iwXZMFKrpulRZ8,40.625,-75.3953,EN,70,61,c,,,,9.406,2,10,5,70,49,"they didnt have a coin in hand, or they just have no money",44,30,7,0,0,2,R_3iwXZMFKrpulRZ8,69bc267854d526c08318bcff,2026-03-28T19:29:33.266000Z,634,14151,68,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",4,69c8be3728e15663623665a4
70.92.243.107,607,3/28/26 19:31,R_50uilJGxnXoJO3x,43.1604,-88.1173,EN,84,9,c,,,,9.509,1,10,5,81,1,I don't feel in any case it would be justifable because it's so easy. why would you cheat by misreporting. But you could argue that it would be okay considering that it wouldn't matter one way or the other.,9,1,2,1,21,2,R_50uilJGxnXoJO3x,5de2e977c0049d31a113991a,2026-03-28T19:40:19.215000Z,745,11603,68,Male,White,United States,United States,United States,English,No,Full-Time,3,69c82b6bf9d32bab64276e6d
179.176.103.70,559,3/28/26 19:33,R_1dNdT0LTkYV1HAq,-15.597,-56.0958,EN,100,91,c,,,,9.764,1,10,5,100,75,"I dont think so. Honesty shouldn't depend on whether you're being watched or not, its about ehics and morals. So, I dont believe anything justifies being dishonest. But, thats just my view based on my experiences, I dont know if I'd have the same opinion if my situation were different.",70,10,10,2,15,2,R_1dNdT0LTkYV1HAq,698100d40a03dc3dfed9d2bd,2026-03-28T19:23:33.261000Z,797,1596,28,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time,7,69c825e7ea07805e2e5e0270
2.217.255.249,521,3/29/26 01:32,R_2SZPmdoKU7mr9jH,51.5323,0.7101,EN,49,20,c,,,,9.847,2,10,10,10,10,I don't think there is any circumstance when misreporting could be justified. We were asked to complete a task and if you could not complete then you should have left the survey. If you did not have a coin then you should have left the survey too.,1,1,1,1,1,2,R_2SZPmdoKU7mr9jH,59aaa1000acd5600012ebfb5,2026-03-29T15:01:39.933000Z,703,1052,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",4,69c8bff4c3b6117c3ea32d95
81.107.173.155,278,3/29/26 02:31,R_8rkprryuO1lPSGj,51.8053,-0.8086,EN,80,90,c,,,,10.36,2,10,10,100,100,"In the case of this survey, I think it would be justifiable to misreport the coin flips. There was no reason to not do such a thing, the survey did not give any benefit to report the coin flips legitimately. If we are offered a bonus based on the number of heads gained in a series of 10 coin flips, the smartest thing to do would be to just claim 10 heads. There is no benefit to report real coin flips, there is nothing gained by doing so.",40,0,0,0,0,1,R_8rkprryuO1lPSGj,5f9802a1306ea3045e8c0b43,2026-03-29T15:03:11.956000Z,790,2710,66,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,4,69c8e686dd9cde7479391113
76.37.56.113,600,3/28/26 14:17,R_1Ckk1x3mOVsVHLb,44.9742,-73.4429,EN,90,92,c,,,,10.731,1,10,5,63,21,Misreporting could be justifiable if the truth may cause harm to a person. I really don't like the idea though. It is a slippery slope that can result in damaged systems.,17,0,0,0,0,2,R_1Ckk1x3mOVsVHLb,66e39617700f6ac648af2498,2026-03-29T15:01:51.702000Z,261,4034,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,4,69c8db653135d173cb1ee0de
172.73.194.171,269,3/28/26 13:57,R_7lyGPErAMxmHY9W,35.3084,-81.0256,EN,0,0,c,,,,10.776,1,10,6,20,63,"i dont know why someone would misreport, unless they were like me and hit the wrong part of the slider and saw that you cant go back to fix your mistake",50,10,3,0,2,2,R_7lyGPErAMxmHY9W,66bf66ddeb466531b167c449,2026-03-29T15:03:08.802000Z,419,2204,66,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",3,69c84a8354607d0de42068eb
146.66.55.220,1880,3/29/26 03:16,R_2OUcBrQ3M9kBIXg,57.5841,-4.3853,EN,51,51,c,,,,11.329,7,10,5,10,10,Misreporting would be justifiable if an honest mistake has been made as It is easy to miscount during the 10 flips. I completely lost count of the number of flips two times before I managed to successfully complete the task,10,0,3,0,0,2,R_2OUcBrQ3M9kBIXg,5c919bd147fad40011be82c8,2026-03-29T15:01:13.619000Z,485,3511,31,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,4,69c8faee3286aeb092c762e5
104.230.138.176,262,3/28/26 13:08,R_37oglKoa8jpHj1L,38.0052,-84.423,EN,9,9,c,,,,11.441,1,10,10,99,35,Maybe their computer is faulty. Maybe they were distracted by children or pets.,35,8,9,21,12,2,R_37oglKoa8jpHj1L,60c76fb5887b0728245b0695,2026-03-29T15:02:19.033000Z,384,566,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,4,69c8e9fa5c0fd5fca8498eb3
105.245.168.185,888,3/28/26 13:19,R_8oS6ZmUYSZAsm89,-29.8553,31.0428,EN,79,82,c,,,,11.823,5,10,8,75,82,Being convicted of perjury can lead to serious penalties,100,81,7,19,13,1,R_8oS6ZmUYSZAsm89,67f1928c2524e8b1d8112f4c,2026-03-28T19:24:02.835000Z,654,9762,60,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",4,69c8c55ad6a35dbe7105d946
86.133.62.50,428,3/29/26 01:57,R_8LzlCRiQa0GbLAJ,54.6337,-1.6507,EN,65,60,c,,,,12.105,1,10,6,70,60,"It would be acceptable if there was no harm done, if the misreporting would have no negative impact on the outcome of the experiment. It would also be acceptable if the experiment involved deception as one of the key components of the study.",71,20,30,10,60,2,R_8LzlCRiQa0GbLAJ,6367a6adb376bcde64f98559,2026-03-29T01:42:19.955000Z,540,7203,49,Female,White,United States,United States,United States,English,No,Full-Time,5,69c9415d0b20de224b758505
74.136.202.136,240,3/28/26 14:17,R_6UtrtFouI14OjE5,39.1669,-83.6016,EN,95,85,c,,,,12.145,2,10,7,95,95,"I think a time where this would be justifiable is when someone really, really needs the bonus money from this survey for a good cause. Only then do I think it is truly justifiable to misreport.",15,0,0,0,0,2,R_6UtrtFouI14OjE5,5d951ede9b6f880018f63b6e,2026-03-28T19:23:59.265000Z,284,824,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,7,69c827a00d8c6518cbc37dea
89.240.154.100,325,3/29/26 00:51,R_2kSmV5szpFDMnGf,50.82,-1.0664,EN,71,80,c,,,,12.4,1,10,10,80,14,If there was a strong need to maximise income based on the result because of a specific need like food or shelter. This ability to earn adfitional income with no vetified proof would be justifiable if the need was that great,81,10,100,50,100,1,R_2kSmV5szpFDMnGf,5f5a07190adc3903dfa338e5,2026-03-29T15:03:34.425000Z,846,6836,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,4,69c8dd7135801c2ac7b20b76
172.56.104.128,623,3/28/26 17:03,R_3a9vBMhOYOoEVDj,47.6459,-122.3995,EN,40,20,c,,,,13.164,1,10,5,5,30,I suppose there are a lot of people who don't have a coin in their possession so they couldn't perform the task. I tried to stretch out the last sentence to get to 40 words. And that's two sentences. I am not a robot.,30,3,5,0,1,2,R_3a9vBMhOYOoEVDj,5dd38420a71de83809342ca3,2026-03-29T15:01:50.529000Z,487,5036,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,4,69c8acc15668de1b9d05d821
67.163.30.56,346,3/28/26 19:27,R_6aRDlmYqxIDXi4Q,41.7697,-87.6985,EN,80,70,c,,,,13.213,1,10,6,30,20,It is never justified because we agree to answer these surveys honestly when we sigh up for Prolific.,40,70,5,5,2,2,R_6aRDlmYqxIDXi4Q,663b78355423840101297ae0,2026-03-28T19:24:22.781000Z,390,10885,45,Female,White,United States,United States,Norway,English,DATA_EXPIRED,DATA_EXPIRED,7,69c8261e6857fa12258976c7
213.78.146.89,669,3/29/26 01:48,R_2am35ok872FwQ6Z,54.58,-5.928,EN,39,59,c,,,,13.4,1,10,5,60,65,"Mis-reporting is never justifiable, even though it may annoy some people. People should always be honest otherwise society would decline into chaos. Our world is changing rapidly in recent years, much of this is due to dishonesty, corruption and other immoral actions. Once honesty slip so many other and things follow.",60,1,1,1,1,2,R_2am35ok872FwQ6Z,5b56f9602a4d0c0001aed3c4,2026-03-28T19:41:46.728000Z,1028,6676,59,Male,White,United States,United States,United States,English,No,Full-Time,3,69c82ad6777c6872fad1c346
188.37.193.141,779,3/28/26 19:38,R_8EEzjlIdhT8GKEi,41.2821,-8.3393,EN,55,55,c,,,,14.036,1,10,6,40,40,"In my opinion, if someone was struggling financially and really needed any extra money.",35,10,20,10,10,2,R_8EEzjlIdhT8GKEi,697cbad1e4fa658183a9a4ba,2026-03-29T15:02:46.815000Z,984,105,77,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",4,69c8996abb0cafddab1b8c23
90.203.251.74,480,3/29/26 02:40,R_8QDTQUTFV7Lkoaz,51.5834,-0.0755,EN,100,90,c,,,,15.223,4,10,10,10,10,under unclear information,60,0,0,0,0,2,R_8QDTQUTFV7Lkoaz,69bfa0f3c8d0a4ec62e5f800,2026-03-29T01:30:08.716000Z,437,17469,36,Male,White,United States,United States,United States,English,No,Full-Time,7,69c825ea48a11e245394e269
